Animal,Symptoms,Disease
Buffalo,"Infertility, Abortion, Stillbirth",Brucellosis
Cow,"Rapid breathing, Nasal bleeding, Foamy saliva, High fever, Sudden death, Weakness, Depression, Sudden fever",Anthrax
Goat,"Lethargy, Dullness, Reduced movement, Incoordination, Recumbency",Milk Fever
Cow,"Fever, Reduced milk yield, Loss of appetite, Depression, Udder swelling, Painful udder, Abnormal milk, Weakness",Mastitis
Sheep,"Reduced milk yield, Nasal discharge, Skin nodules, Swollen lymph nodes",Lumpy Skin Disease (Lumpy Virus)
Goat,"Cough, Loss of appetite, Difficulty breathing, Dehydration, High fever, Diarrhoea, Nasal discharge, Depression",Peste des Petits Ruminants
Sheep,"High fever, Loss of appetite, Sudden death, Dehydration, Nasal discharge, Bloody diarrhoea",Rinderpest
Cow,"Lethargy, Incoordination, Depression, Reduced movement, Recumbency",Milk Fever
Buffalo,"Rapid breathing, Swollen lymph nodes, Sudden death",East Coast Fever
Goat,"Yellow urine, Dark urine, Pale mucous membranes",Babesiosis
Sheep,"Recumbency, Paralysis, Loss of appetite, Eye discharge, Incoordination",Listeriosis
Sheep,"Lameness, Grunting sound, Sudden fever, Reduced movement, Recumbency, Swollen joints, High fever, Chest pain",Black Quarter
Goat,"Lethargy, Dark urine, Depression, High fever, Pale mucous membranes, Weakness, Anaemia, Yellow urine",Babesiosis
Goat,"Yellow urine, Dark urine, Anaemia, Pale mucous membranes, Weakness",Babesiosis
Cow,"Swollen lymph nodes, Skin lesions, Skin nodules, Eye discharge",Sheep and Goat Pox
Goat,"Abnormal milk, Painful udder, Udder swelling",Mastitis
Sheep,"Excess salivation, Blisters in mouth, Blisters on feet",Foot and Mouth Disease
Cow,"Facial swelling, Jaw swelling, Nasal discharge, Rapid breathing, Difficulty breathing",Haemorrhagic Septicaemia
Buffalo,"Swollen joints, Sudden fever, Reduced movement",Bovine Ephemeral Fever
Sheep,"Infertility, Reduced fertility, Abortion, Stillbirth, Depression",Brucellosis
Cow,"Fever, Dehydration, Diarrhoea, Weight loss, Lethargy, Weakness",Calf Scour
Goat,"Diarrhoea, Lethargy, Loss of appetite, Dehydration",Calf Scour
Cow,"Neurological signs, Paralysis, Depression, Eye discharge, Incoordination",Listeriosis
Buffalo,"Dullness, Weight loss, Bloody diarrhoea",Coccidiosis
Goat,"Swollen lymph nodes, Anaemia, Depression, Lethargy",Theileriosis
Buffalo,"Weakness, Reduced fertility, Loss of appetite, Stillbirth, Abortion, Infertility",Campylobacter Abortion
Cow,"Sudden fever, Reduced movement, Swollen joints",Bovine Ephemeral Fever
Buffalo,"Anaemia, Weight loss, Depression, Lethargy, Fever, Yellow urine, Pale mucous membranes, Weakness",Anaplasmosis
Buffalo,"Weakness, Yellow urine, Dark urine, Pale mucous membranes, High fever",Babesiosis
Goat,"Incoordination, Eye discharge, Fever, Paralysis, Loss of appetite, Depression",Listeriosis
Buffalo,"Skin lesions, Scratching, Hair loss, Itching, Weight loss, Loss of appetite, Dullness",Ringworm
Goat,"Lameness, Cracked hooves, Swollen joints, Hoof lesions, Reduced movement, Recumbency, Fever, Loss of appetite",Foot Rot
Cow,"Weight loss, Diarrhoea, Dullness, Loss of appetite, Depression, Anaemia, Weakness, Dehydration",Amphistomiasis
Cow,"Nasal discharge, High fever, Lameness, Difficulty breathing, Facial swelling, Depression, Jaw swelling",Blue Tongue
Cow,"Dullness, Diarrhoea, Dehydration, Depression, Anaemia, Loss of appetite, Weight loss",Amphistomiasis
Cow,"Bloat, Sudden death, Abdominal pain",Enterotoxaemia
Sheep,"Incoordination, Foamy saliva, Difficulty breathing, Restlessness, Neurological signs, Sudden death, Paralysis, Convulsions",Rabies
Cow,"Sudden death, Bloat, Abdominal pain",Enterotoxaemia
Cow,"Neurological signs, Incoordination, Eye discharge, Paralysis",Listeriosis
Goat,"Swollen lymph nodes, Lethargy, Anaemia, Weakness, Weight loss",Theileriosis
Buffalo,"Depression, Diarrhoea, Weight loss, Dullness, Dehydration, Bloody diarrhoea, Loss of appetite",Coccidiosis
Buffalo,"Lameness, Depression, Jaw swelling, Difficulty breathing, Facial swelling, High fever",Blue Tongue
Buffalo,"Loss of appetite, Diarrhoea, Lethargy, Dehydration, Depression",Calf Scour
Sheep,"Dehydration, Reduced milk yield, Diarrhoea, Weakness, Weight loss",Johne’s Disease
Buffalo,"Depression, Swollen lymph nodes, Fever, Eye discharge, Skin nodules, Skin lesions, Nasal discharge",Sheep and Goat Pox
Buffalo,"Swollen lymph nodes, Nasal discharge, Reduced milk yield, Skin nodules, Lameness, High fever",Lumpy Skin Disease (Lumpy Virus)
Goat,"Depression, Weight loss, Reduced milk yield, Anaemia",Fascioliasis
Cow,"Dehydration, Nasal discharge, Depression, Sudden death, High fever, Bloody diarrhoea, Diarrhoea",Rinderpest
Buffalo,"Bloat, Abdominal pain, Dehydration, Sudden death, Diarrhoea",Enterotoxaemia
Buffalo,"Reduced milk yield, Skin nodules, Swollen lymph nodes",Lumpy Skin Disease (Lumpy Virus)
Buffalo,"Convulsions, Rapid breathing, Incoordination, Recumbency",Tetanus
Buffalo,"Sudden fever, Foamy saliva, Nasal bleeding, Sudden death",Anthrax
Cow,"Diarrhoea, Dehydration, Weakness, Anaemia",Amphistomiasis
Buffalo,"Depression, Loss of appetite, Recumbency, Fever, Incoordination, Eye discharge, Paralysis",Listeriosis
Cow,"Depression, Udder swelling, Abnormal milk, Painful udder",Mastitis
Goat,"Stillbirth, Abortion, Reduced fertility",Campylobacter Abortion
Goat,"Itching, Hair loss, Dullness, Skin lesions",Ringworm
Goat,"Abdominal pain, Sudden death, Convulsions, Bloat, Bloody diarrhoea",Enterotoxaemia
Goat,"High fever, Reduced movement, Sudden fever, Chest pain, Grunting sound, Swollen joints",Black Quarter
Buffalo,"Restlessness, Convulsions, Recumbency, Incoordination",Tetanus
Sheep,"Incoordination, Depression, Neurological signs, Eye discharge, Paralysis",Listeriosis
Goat,"Dehydration, Lethargy, Depression, Weakness, Weight loss, Diarrhoea",Calf Scour
Buffalo,"Swollen lymph nodes, High fever, Skin lesions, Eye discharge, Reduced milk yield, Nasal discharge, Skin nodules",Lumpy Skin Disease (Lumpy Virus)
Sheep,"Itching, Skin nodules, Scratching",Mange
Buffalo,"Dehydration, Sudden death, Diarrhoea, High fever, Bloody diarrhoea",Salmonellosis
Cow,"Incoordination, Neurological signs, Recumbency, Paralysis, Eye discharge",Listeriosis
Goat,"Eye discharge, Incoordination, Paralysis, Loss of appetite, Recumbency",Listeriosis
Buffalo,"Blisters on feet, Blisters in mouth, Excess salivation",Foot and Mouth Disease
Buffalo,"Blisters on feet, Excess salivation, Blisters in mouth, Hoof lesions, Drooling, Reduced milk yield",Foot and Mouth Disease
Sheep,"Rapid breathing, Sudden death, Nasal discharge, Depression, Swollen lymph nodes",East Coast Fever
Goat,"Diarrhoea, Fever, Depression, Lethargy, Dehydration, Loss of appetite",Calf Scour
Goat,"Abdominal pain, Bloody diarrhoea, Bloat, Sudden death",Enterotoxaemia
Cow,"Sudden fever, Reduced movement, Swollen joints",Bovine Ephemeral Fever
Cow,"Diarrhoea, Lethargy, Dehydration",Calf Scour
Sheep,"Anaemia, Weakness, Weight loss, Reduced milk yield, Pale mucous membranes",Fascioliasis
Cow,"Jaw swelling, Depression, Sudden death, Facial swelling, Rapid breathing",Haemorrhagic Septicaemia
Buffalo,"Weight loss, Diarrhoea, Reduced milk yield",Johne’s Disease
Cow,"Depression, Dark urine, Yellow urine, Weakness, Pale mucous membranes, Anaemia",Babesiosis
Cow,"Eye discharge, Sneezing, Cough",Bovine Rhinotracheitis
Buffalo,"Abortion, Infertility, Stillbirth, Weakness",Brucellosis
Buffalo,"Bloody diarrhoea, Dehydration, Sudden death",Rinderpest
Goat,"Weight loss, Diarrhoea, Dehydration, Reduced milk yield",Johne’s Disease
Sheep,"Reduced movement, Swollen joints, High fever, Dullness, Sudden fever",Bovine Ephemeral Fever
Buffalo,"Skin nodules, Itching, Scratching, Restlessness, Weight loss, Skin lesions, Hair loss, Dullness",Mange
Sheep,"Reduced milk yield, Drooling, Hoof lesions, Fever, Lameness, Blisters on feet, Excess salivation, Blisters in mouth",Foot and Mouth Disease
Sheep,"Swollen lymph nodes, High fever, Reduced milk yield, Nasal discharge, Skin nodules, Eye discharge, Skin lesions, Lameness",Lumpy Skin Disease (Lumpy Virus)
Buffalo,"High fever, Sudden death, Sudden fever, Depression, Rapid breathing, Weakness, Nasal bleeding, Foamy saliva",Anthrax
Sheep,"Dark urine, High fever, Pale mucous membranes, Yellow urine, Lethargy, Anaemia, Weakness",Babesiosis
Goat,"Chest pain, Sudden fever, Grunting sound, Lameness, Recumbency, Swollen joints",Black Quarter
Sheep,"Rapid breathing, Sudden death, Depression, Swollen lymph nodes",East Coast Fever
Cow,"Stillbirth, Infertility, Abortion, Fever, Swollen joints",Brucellosis
Goat,"Neurological signs, Paralysis, Convulsions",Rabies
Sheep,"Swollen lymph nodes, Rapid breathing, High fever, Sudden death, Weakness, Depression",East Coast Fever
Buffalo,"Nasal bleeding, Foamy saliva, Sudden death",Anthrax
Cow,"Paralysis, Incoordination, Fever, Depression, Eye discharge",Listeriosis
Sheep,"Weakness, Depression, Diarrhoea, Dehydration, Reduced milk yield, Weight loss",Johne’s Disease
Buffalo,"Chest pain, Reduced movement, High fever, Swollen joints, Grunting sound",Black Quarter
Buffalo,"Swollen joints, Grunting sound, High fever, Reduced movement, Chest pain",Black Quarter
Goat,"Chest pain, Reduced movement, Sudden fever, High fever, Grunting sound, Swollen joints",Black Quarter
Goat,"Sudden death, Abdominal pain, Convulsions, Depression, Bloody diarrhoea, Dehydration, Bloat, Diarrhoea",Enterotoxaemia
Sheep,"Abortion, Reduced fertility, Weakness, Infertility, Stillbirth",Brucellosis
Cow,"Swollen joints, Cracked hooves, Hoof lesions, Lameness",Foot Rot
Cow,"Weight loss, Diarrhoea, Depression, Reduced milk yield, Dehydration, Weakness, Loss of appetite",Johne’s Disease
Sheep,"Rapid breathing, Sudden death, Nasal discharge, Swollen lymph nodes, Depression, Difficulty breathing",East Coast Fever
Sheep,"Bloody diarrhoea, Sudden death, High fever, Diarrhoea, Nasal discharge, Dehydration",Rinderpest
Cow,"Difficulty breathing, Sudden death, Foamy saliva, Neurological signs, Restlessness, Convulsions, Paralysis",Rabies
Sheep,"Rapid breathing, Swollen lymph nodes, Sudden death",East Coast Fever
Goat,"Neurological signs, Paralysis, Convulsions",Rabies
Cow,"Cracked hooves, Recumbency, Hoof lesions, Lameness",Foot Rot
Cow,"Infertility, Reduced fertility, Swollen joints, Weakness, Stillbirth, Fever, Depression, Abortion",Brucellosis
Cow,"Reduced movement, Incoordination, Weakness, Recumbency, Depression, Loss of appetite",Milk Fever
Sheep,"Infertility, Depression, Weakness, Stillbirth, Abortion, Loss of appetite, Reduced fertility, Fever",Campylobacter Abortion
Sheep,"Swollen lymph nodes, Weakness, Nasal discharge, Rapid breathing, High fever, Difficulty breathing, Depression, Sudden death",East Coast Fever
Goat,"Lameness, Excess salivation, Blisters on feet, Hoof lesions, Blisters in mouth, Drooling",Foot and Mouth Disease
Buffalo,"Reduced milk yield, Depression, Loss of appetite, Weakness, Abnormal milk, Udder swelling, Fever, Painful udder",Mastitis
Cow,"Anaemia, Dark urine, Lethargy, Yellow urine, Depression, Pale mucous membranes",Babesiosis
Cow,"Hoof lesions, Cracked hooves, Lameness",Foot Rot
Goat,"Jaw swelling, Facial swelling, Rapid breathing",Haemorrhagic Septicaemia
Buffalo,"Depression, High fever, Dehydration, Bloody diarrhoea, Loss of appetite, Sudden death, Nasal discharge",Rinderpest
Goat,"Cough, Rapid breathing, Eye discharge, Depression, Sneezing, Fever, Difficulty breathing",Bovine Rhinotracheitis
Goat,"Cough, Depression, High fever, Loss of appetite, Dehydration, Diarrhoea, Difficulty breathing",Peste des Petits Ruminants
Buffalo,"Facial swelling, Jaw swelling, Nasal discharge, Difficulty breathing, Rapid breathing, Lameness",Blue Tongue
Buffalo,"Depression, Weakness, Foamy saliva, Nasal bleeding, Sudden fever, Sudden death",Anthrax
Goat,"Excess salivation, Blisters in mouth, Fever, Lameness, Blisters on feet",Foot and Mouth Disease
Sheep,"Restlessness, Skin nodules, Dullness, Scratching, Weight loss, Itching",Mange
Cow,"Weight loss, Dullness, Dehydration, Bloody diarrhoea, Diarrhoea",Coccidiosis
Buffalo,"Difficulty breathing, Rapid breathing, Recumbency, Restlessness, Incoordination, Convulsions",Tetanus
Goat,"Hair loss, Skin nodules, Itching, Scratching, Skin lesions",Mange
Sheep,"Loss of appetite, Anaemia, Dehydration, Diarrhoea, Weakness, Depression, Dullness",Amphistomiasis
Sheep,"Sudden death, Depression, Nasal bleeding, Sudden fever, High fever, Foamy saliva",Anthrax
Goat,"Dehydration, Diarrhoea, Dullness, Anaemia",Amphistomiasis
Sheep,"Reduced movement, Recumbency, Cracked hooves, Fever, Hoof lesions, Swollen joints, Lameness, Loss of appetite",Foot Rot
Goat,"Weakness, Anaemia, Dehydration, Loss of appetite, Dullness, Weight loss, Diarrhoea, Depression",Amphistomiasis
Goat,"Depression, Reduced movement, Swollen joints, Sudden fever, Reduced milk yield",Bovine Ephemeral Fever
Sheep,"Reduced milk yield, Weakness, Weight loss, Anaemia",Fascioliasis
Sheep,"Rapid breathing, Recumbency, Convulsions, Reduced movement, Incoordination",Tetanus
Sheep,"Swollen joints, Chest pain, Grunting sound",Black Quarter
Goat,"Eye discharge, Cough, Sneezing",Bovine Rhinotracheitis
Cow,"Recumbency, Incoordination, Convulsions",Tetanus
Buffalo,"Itching, Skin lesions, Hair loss",Ringworm
Cow,"Bloody diarrhoea, Sudden death, High fever",Salmonellosis
Buffalo,"Lethargy, Diarrhoea, Weight loss, Fever, Dehydration",Calf Scour
Cow,"Weight loss, Depression, Weakness, Dehydration, Dullness, Reduced milk yield, Loss of appetite, Diarrhoea",Johne’s Disease
Sheep,"Swollen lymph nodes, Reduced milk yield, Lameness, Skin lesions, Skin nodules",Lumpy Skin Disease (Lumpy Virus)
Buffalo,"Anaemia, Pale mucous membranes, Weight loss, Lethargy, Depression, High fever, Swollen lymph nodes",Theileriosis
Cow,"High fever, Loss of appetite, Sudden death, Dehydration, Bloody diarrhoea",Salmonellosis
Sheep,"Sudden death, Loss of appetite, Bloody diarrhoea, High fever",Salmonellosis
Buffalo,"Dullness, Itching, Skin nodules, Scratching",Mange
Buffalo,"Eye discharge, Cough, Sneezing",Bovine Rhinotracheitis
Buffalo,"Fever, Weakness, Infertility, Swollen joints, Depression, Stillbirth, Abortion",Brucellosis
Cow,"Anaemia, Pale mucous membranes, Weight loss, Weakness, Reduced milk yield",Fascioliasis
Goat,"Neurological signs, Restlessness, Convulsions, Paralysis",Rabies
Cow,"Depression, Dullness, Sudden fever, Reduced movement, Swollen joints, High fever, Reduced milk yield, Lameness",Bovine Ephemeral Fever
Sheep,"Lameness, Hoof lesions, Cracked hooves",Foot Rot
Cow,"Lameness, Swollen joints, Chest pain, Grunting sound",Black Quarter
Sheep,"Sudden death, Loss of appetite, Bloody diarrhoea, High fever",Salmonellosis
Buffalo,"High fever, Dehydration, Nasal discharge, Diarrhoea, Cough",Peste des Petits Ruminants
Sheep,"Depression, Weight loss, Weakness, Dullness, Bloody diarrhoea",Coccidiosis
Buffalo,"Abnormal milk, Udder swelling, Loss of appetite, Painful udder",Mastitis
Buffalo,"Grunting sound, High fever, Chest pain, Swollen joints, Lameness",Black Quarter
Sheep,"Swollen lymph nodes, Lethargy, Anaemia",Theileriosis
Cow,"Recumbency, Incoordination, Dullness, Reduced movement",Milk Fever
Buffalo,"Reduced fertility, Depression, Abortion, Stillbirth, Infertility",Brucellosis
Goat,"Sudden fever, Reduced movement, Swollen joints",Bovine Ephemeral Fever
Goat,"Dehydration, Loss of appetite, Depression, Bloody diarrhoea, Sudden death",Rinderpest
Buffalo,"Foamy saliva, Nasal bleeding, Sudden death",Anthrax
Goat,"Weight loss, Depression, Reduced milk yield, Loss of appetite, Diarrhoea, Weakness",Johne’s Disease
Sheep,"Difficulty breathing, Recumbency, Rapid breathing, Convulsions, Incoordination",Tetanus
Buffalo,"Swollen joints, Grunting sound, Chest pain",Black Quarter
Buffalo,"Fever, Reduced milk yield, Hoof lesions, Blisters on feet, Lameness, Excess salivation, Drooling, Blisters in mouth",Foot and Mouth Disease
Cow,"Udder swelling, Depression, Painful udder, Abnormal milk",Mastitis
Buffalo,"Rapid breathing, Jaw swelling, Facial swelling, Difficulty breathing, Nasal discharge, High fever, Sudden death",Haemorrhagic Septicaemia
Buffalo,"Dark urine, Yellow urine, Pale mucous membranes",Babesiosis
Sheep,"Swollen lymph nodes, Anaemia, Lethargy, Depression, High fever",Theileriosis
Sheep,"Nasal discharge, Fever, Loss of appetite, Swollen lymph nodes, Eye discharge, Skin nodules, Skin lesions",Sheep and Goat Pox
Goat,"Sneezing, Nasal discharge, Eye discharge, Cough",Bovine Rhinotracheitis
Buffalo,"Facial swelling, Rapid breathing, Depression, Difficulty breathing, Jaw swelling",Haemorrhagic Septicaemia
Goat,"Dehydration, Anaemia, Diarrhoea",Amphistomiasis
Cow,"Weakness, Reduced movement, Lethargy, Incoordination, Dullness, Recumbency, Loss of appetite",Milk Fever
Sheep,"Dehydration, High fever, Depression, Difficulty breathing, Cough, Diarrhoea",Peste des Petits Ruminants
Sheep,"Skin nodules, Itching, Scratching, Weight loss, Hair loss, Skin lesions, Dullness, Restlessness",Mange
Buffalo,"Bloody diarrhoea, Weight loss, Depression, Dullness, Dehydration, Diarrhoea",Coccidiosis
Cow,"Swollen joints, Grunting sound, Reduced movement, Chest pain, Sudden fever",Black Quarter
Buffalo,"Sneezing, Cough, Depression, Fever, Difficulty breathing, Eye discharge",Bovine Rhinotracheitis
Buffalo,"Lameness, Chest pain, Swollen joints, Grunting sound",Black Quarter
Cow,"Lethargy, Diarrhoea, Dehydration",Calf Scour
Goat,"Facial swelling, Lameness, Nasal discharge, Depression, High fever, Jaw swelling, Rapid breathing",Blue Tongue
Goat,"Facial swelling, Lameness, Nasal discharge, Jaw swelling, High fever, Depression, Rapid breathing, Difficulty breathing",Blue Tongue
Cow,"Swollen lymph nodes, Weakness, Rapid breathing, Sudden death",East Coast Fever
Goat,"Facial swelling, Lameness, Jaw swelling",Blue Tongue
Goat,"Nasal discharge, Fever, Sneezing, Eye discharge, Depression, Rapid breathing, Cough",Bovine Rhinotracheitis
Goat,"Skin nodules, Swollen lymph nodes, Reduced milk yield, Eye discharge, Nasal discharge",Lumpy Skin Disease (Lumpy Virus)
Buffalo,"Skin lesions, High fever, Nasal discharge, Lameness, Eye discharge, Swollen lymph nodes, Reduced milk yield, Skin nodules",Lumpy Skin Disease (Lumpy Virus)
Cow,"Excess salivation, Fever, Blisters on feet, Blisters in mouth, Lameness",Foot and Mouth Disease
Sheep,"Abdominal pain, Convulsions, Bloat, Depression, Sudden death, Dehydration, Bloody diarrhoea, Diarrhoea",Enterotoxaemia
Goat,"Reduced milk yield, Anaemia, Depression, Weakness, Weight loss, Loss of appetite",Fascioliasis
Buffalo,"High fever, Cough, Nasal discharge, Difficulty breathing, Diarrhoea, Depression, Dehydration, Loss of appetite",Peste des Petits Ruminants
Goat,"Incoordination, Loss of appetite, Lethargy, Recumbency, Reduced movement, Dullness, Weakness",Milk Fever
Buffalo,"Rapid breathing, Swollen lymph nodes, Sudden death",East Coast Fever
Sheep,"High fever, Sudden death, Bloody diarrhoea",Salmonellosis
Buffalo,"Fever, Stillbirth, Reduced fertility, Loss of appetite, Abortion, Weakness, Infertility",Campylobacter Abortion
Cow,"Nasal discharge, Fever, Depression, Eye discharge, Loss of appetite, Skin nodules, Swollen lymph nodes, Skin lesions",Sheep and Goat Pox
Goat,"Incoordination, Eye discharge, Recumbency, Paralysis, Neurological signs",Listeriosis
Goat,"Blisters on feet, Excess salivation, Blisters in mouth",Foot and Mouth Disease
Buffalo,"Fever, Cough, Difficulty breathing, Eye discharge, Sneezing, Nasal discharge",Bovine Rhinotracheitis
Sheep,"Sudden fever, Nasal bleeding, Depression, Foamy saliva, Rapid breathing, Sudden death",Anthrax
Buffalo,"Loss of appetite, Anaemia, Reduced milk yield, Weight loss, Depression",Fascioliasis
Goat,"Anaemia, Depression, Weight loss, Yellow urine, Pale mucous membranes",Anaplasmosis
Cow,"Neurological signs, Convulsions, Recumbency, Reduced movement, Difficulty breathing, Incoordination, Restlessness, Rapid breathing",Tetanus
Buffalo,"Convulsions, Neurological signs, Paralysis",Rabies
Cow,"Sudden death, Swollen lymph nodes, Rapid breathing",East Coast Fever
Goat,"Sudden death, Bloat, Abdominal pain",Enterotoxaemia
Sheep,"Infertility, Reduced fertility, Abortion, Weakness, Swollen joints, Depression, Stillbirth, Fever",Brucellosis
Cow,"Scratching, Depression, Loss of appetite, Skin lesions, Itching, Hair loss",Ringworm
Sheep,"Bloody diarrhoea, Sudden death, High fever",Salmonellosis
Cow,"Skin nodules, Nasal discharge, Skin lesions, Fever, Swollen lymph nodes, Depression, Loss of appetite",Sheep and Goat Pox
Sheep,"Infertility, Swollen joints, Stillbirth, Depression, Abortion",Brucellosis
Buffalo,"Reduced milk yield, Depression, Dehydration, Diarrhoea, Weakness, Weight loss, Loss of appetite, Dullness",Johne’s Disease
Sheep,"Bloody diarrhoea, Loss of appetite, Weight loss, Diarrhoea, Dullness",Coccidiosis
Buffalo,"Dullness, Weakness, Loss of appetite, Weight loss, Bloody diarrhoea, Dehydration, Depression, Diarrhoea",Coccidiosis
Buffalo,"Depression, Loss of appetite, Skin lesions, Nasal discharge, Skin nodules, Swollen lymph nodes, Eye discharge",Sheep and Goat Pox
Buffalo,"Reduced milk yield, Dullness, Depression, Dehydration, Weakness, Weight loss, Loss of appetite, Diarrhoea",Johne’s Disease
Goat,"High fever, Difficulty breathing, Swollen lymph nodes, Depression, Sudden death, Weakness, Rapid breathing",East Coast Fever
Goat,"Convulsions, Difficulty breathing, Neurological signs, Reduced movement, Restlessness, Recumbency, Incoordination",Tetanus
Cow,"Dullness, Diarrhoea, Weight loss, Bloody diarrhoea, Dehydration, Loss of appetite, Depression",Coccidiosis
Goat,"Cough, Difficulty breathing, Diarrhoea, Dehydration, Loss of appetite",Peste des Petits Ruminants
Buffalo,"Foamy saliva, Sudden fever, Nasal bleeding, Sudden death",Anthrax
Goat,"Infertility, Weakness, Depression, Loss of appetite, Reduced fertility, Stillbirth, Abortion",Campylobacter Abortion
Sheep,"Sneezing, Eye discharge, Nasal discharge, Cough",Bovine Rhinotracheitis
Buffalo,"High fever, Weakness, Loss of appetite, Diarrhoea, Sudden death, Bloody diarrhoea, Depression",Salmonellosis
Buffalo,"Hair loss, Weight loss, Skin nodules, Scratching, Itching",Mange
Cow,"Reduced movement, Grunting sound, Swollen joints, Chest pain, Lameness",Black Quarter
Buffalo,"Lameness, Rapid breathing, Nasal discharge, Jaw swelling, High fever, Depression, Facial swelling",Blue Tongue
Sheep,"Cracked hooves, Lameness, Hoof lesions",Foot Rot
Sheep,"Fever, Lethargy, Anaemia, Pale mucous membranes, Yellow urine",Anaplasmosis
Goat,"Depression, Fever, Infertility, Stillbirth, Abortion",Brucellosis
Cow,"Skin lesions, Hair loss, Depression, Itching, Dullness",Ringworm
Sheep,"Dehydration, Anaemia, Weight loss, Dullness, Depression, Loss of appetite, Weakness, Diarrhoea",Amphistomiasis
Cow,"Cough, Loss of appetite, Nasal discharge, High fever, Diarrhoea, Dehydration, Difficulty breathing",Peste des Petits Ruminants
Buffalo,"Sudden death, High fever, Bloody diarrhoea",Salmonellosis
Goat,"Swollen joints, Hoof lesions, Cracked hooves, Lameness, Recumbency, Fever",Foot Rot
Buffalo,"Weakness, Depression, Lethargy, Anaemia, Pale mucous membranes, High fever, Swollen lymph nodes, Weight loss",Theileriosis
Buffalo,"Diarrhoea, Bloody diarrhoea, Dullness, Weight loss, Dehydration",Coccidiosis
Buffalo,"Nasal discharge, Skin nodules, Lameness, Swollen lymph nodes, Skin lesions, Reduced milk yield, High fever",Lumpy Skin Disease (Lumpy Virus)
Buffalo,"Sudden death, Rapid breathing, Sudden fever, Nasal bleeding, Foamy saliva, Weakness, High fever",Anthrax
Goat,"Loss of appetite, Swollen lymph nodes, Depression, Skin lesions, Skin nodules, Nasal discharge",Sheep and Goat Pox
Buffalo,"High fever, Swollen joints, Grunting sound, Chest pain",Black Quarter
Sheep,"Rapid breathing, Depression, Jaw swelling, High fever, Facial swelling",Haemorrhagic Septicaemia
Cow,"Rapid breathing, Difficulty breathing, Sudden death, Jaw swelling, Facial swelling",Haemorrhagic Septicaemia
Goat,"Cough, Difficulty breathing, Sneezing, Eye discharge",Bovine Rhinotracheitis
Buffalo,"Blisters on feet, Drooling, Excess salivation, Blisters in mouth",Foot and Mouth Disease
Sheep,"Depression, Anaemia, Pale mucous membranes, Fever, Weight loss, Yellow urine, Weakness, Lethargy",Anaplasmosis
Cow,"Weakness, Reduced fertility, Depression, Fever, Abortion, Stillbirth, Infertility, Loss of appetite",Campylobacter Abortion
Buffalo,"Diarrhoea, Cough, Nasal discharge, Loss of appetite, Dehydration, Difficulty breathing",Peste des Petits Ruminants
Sheep,"Itching, Skin lesions, Hair loss",Ringworm
Goat,"Foamy saliva, Nasal bleeding, Sudden death, Depression",Anthrax
Sheep,"Depression, Abdominal pain, Sudden death, Bloat",Enterotoxaemia
Buffalo,"Weight loss, Reduced milk yield, Diarrhoea",Johne’s Disease
Buffalo,"Restlessness, Neurological signs, Convulsions, Paralysis",Rabies
Buffalo,"Difficulty breathing, Loss of appetite, Cough, Diarrhoea, Dehydration",Peste des Petits Ruminants
Cow,"Eye discharge, Incoordination, Neurological signs, Paralysis, Fever, Loss of appetite",Listeriosis
Cow,"Weight loss, Dullness, Bloody diarrhoea",Coccidiosis
Sheep,"Yellow urine, Dark urine, Anaemia, Lethargy, High fever, Weakness, Depression, Pale mucous membranes",Babesiosis
Goat,"Recumbency, Neurological signs, Depression, Eye discharge, Loss of appetite, Paralysis, Incoordination, Fever",Listeriosis
Buffalo,"Cough, Rapid breathing, Eye discharge, Sneezing",Bovine Rhinotracheitis
Cow,"Swollen joints, Sudden fever, High fever, Reduced movement",Bovine Ephemeral Fever
Cow,"Lameness, Cracked hooves, Reduced movement, Recumbency, Hoof lesions",Foot Rot
Buffalo,"Dehydration, Diarrhoea, Weakness, Lethargy",Calf Scour
Goat,"Anaemia, High fever, Weakness, Lethargy, Swollen lymph nodes",Theileriosis
Sheep,"Lethargy, Anaemia, Swollen lymph nodes",Theileriosis
Cow,"Grunting sound, High fever, Lameness, Chest pain, Swollen joints",Black Quarter
Cow,"Itching, Skin nodules, Dullness, Scratching, Restlessness, Weight loss",Mange
Goat,"Depression, Recumbency, Reduced movement, Weakness, Incoordination, Dullness, Lethargy",Milk Fever
Goat,"Weight loss, Reduced milk yield, Diarrhoea",Johne’s Disease
Goat,"Anaemia, Lethargy, Depression, Pale mucous membranes, Yellow urine",Anaplasmosis
Sheep,"Depression, Jaw swelling, Facial swelling, Nasal discharge, Rapid breathing, Sudden death",Haemorrhagic Septicaemia
Sheep,"Depression, Itching, Hair loss, Skin lesions",Ringworm
Goat,"High fever, Sudden fever, Dullness, Depression, Reduced milk yield, Swollen joints, Lameness, Reduced movement",Bovine Ephemeral Fever
Goat,"Depression, Dehydration, Anaemia, Weakness, Weight loss, Diarrhoea, Dullness",Amphistomiasis
Goat,"Dullness, Reduced movement, Weakness, Lethargy, Loss of appetite, Depression, Recumbency, Incoordination",Milk Fever
Sheep,"Skin nodules, Swollen lymph nodes, Reduced milk yield",Lumpy Skin Disease (Lumpy Virus)
Cow,"Depression, Facial swelling, Sudden death, Rapid breathing, Jaw swelling, Difficulty breathing",Haemorrhagic Septicaemia
